IRIS,LIBIRIS,COM,LIBCOM,DEC_PIMP18,DEC_TP6018,DEC_Q118,DEC_MED18,DEC_Q318,DEC_EQ18,DEC_D118,DEC_D218,DEC_D318,DEC_D418,DEC_D618,DEC_D718,DEC_D818,DEC_D918,DEC_RD18,DEC_S80S2018,DEC_GI18,DEC_PACT18,DEC_PTSA18,DEC_PCHO18,DEC_PBEN18,DEC_PPEN18,DEC_PAUT18,DEC_NOTE18
441720106,ZA  RN 23-Maison Neuve,44172,Sainte-Luce-sur-Loire,58.3,13.1,16990,23680,29770,0.54,11310,15520,18440,21190,25740,28240,31510,37270,3.3,4,0.255,90.2,84.1,3.2,2.9,6.6,3.2,0
441840101,Méan Penhöet,44184,Saint-Nazaire,41.4,24.8,13120,18470,23960,0.59,6700,11580,14090,16260,20410,22620,25780,29970,4.5,5.7,0.291,71.7,65.6,4.3,1.8,26.3,2,0
441840103,Herbins Gare,44184,Saint-Nazaire,45.9,22,13960,19750,25900,0.6,8500,12530,15340,17620,22180,24550,27650,32040,3.8,4.4,0.261,69,63.4,4.1,1.5,29.4,1.6,0
441840104,Centre Halles,44184,Saint-Nazaire,40,27.5,12280,18460,24270,0.65,6650,10320,13740,16130,20600,22510,26550,33940,5.1,6.5,0.316,68.2,60.7,4.3,3.2,29.1,2.7,0
441840105,Hyper Centre,44184,Saint-Nazaire,42.7,27.5,12170,18920,25330,0.7,6000,10620,14030,16290,21620,24260,27350,34560,5.8,7.4,0.326,70,63.1,4.1,2.8,27.5,2.5,0
441840106,Hôtel de ville,44184,Saint-Nazaire,45.3,22.5,13770,20040,27250,0.67,6680,11800,15190,17560,22580,25580,29820,39340,5.9,7.6,0.349,68.2,59.2,4.5,4.5,27.1,4.7,0
441840107,Ville Port,44184,Saint-Nazaire,47.9,22.5,13800,19800,26940,0.66,7770,12010,15080,17830,22280,25420,29290,37410,4.8,6.3,0.322,58.8,52.4,3.9,2.5,36.9,4.3,0
441840108,Jardin des Plantes,44184,Saint-Nazaire,53.2,11.6,17890,25510,36200,0.72,12040,16410,19140,22030,29000,33320,39060,48780,4.1,5.4,0.318,62.7,51.8,2.3,8.6,32.7,4.6,0
441840109,Petit Caporal,44184,Saint-Nazaire,45.4,25.6,12910,19450,26190,0.68,6920,11230,14290,17110,22080,24380,27580,33410,4.8,6,0.298,67.4,61.6,3.3,2.5,30.7,1.9,0
441840110,Cité Scolaire,44184,Saint-Nazaire,45.7,26.6,12400,19380,26070,0.71,6490,10910,13970,16680,21900,24370,28030,34150,5.3,6.8,0.326,62.5,54.7,3.4,4.4,34.5,3,0
